"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"ANET","Arista Networks Inc","Information Technology","US Equity","Common stocks","Large cap","$51,900,314,096","2,871,835","Analyze"
"CAJ","Canon Inc ADRs","Information Technology","US Equity","ADRs","Large cap","$28,889,316,630","538,930","Analyze"
"HPQ","HP Inc","Information Technology","US Equity","Common stocks","Large cap","$27,313,294,433","8,675,703","Analyze"
"NTAP","NetApp Inc","Information Technology","US Equity","Common stocks","Large cap","$13,161,556,868","2,301,323","Analyze"
"STX","Seagate Technology Plc","Information Technology","US Equity","Common stocks","Large cap","$12,859,616,000","2,653,589","Analyze"
"WDC","Western Digital Corp","Information Technology","US Equity","Common stocks","Large cap","$11,262,498,755","4,190,239","Analyze"
"LOGI","Logitech International SA","Information Technology","US Equity","Common stocks","Mid cap","$9,318,329,355","642,293","Analyze"
"DELL","Dell Technologies Inc. Class C","Information Technology","US Equity","Common stocks","Mid cap","$9,163,693,190","5,702,583","Analyze"
"PSTG","Pure Storage Inc Class A","Information Technology","US Equity","Common stocks","Mid cap","$7,298,365,468","7,921,172","Analyze"
"SMCI","Super Micro Computer, Inc.","Information Technology","US Equity","Common stocks","Mid cap","$6,114,636,012","1,426,854","Analyze"
"CRSR","Corsair Gaming, Inc.","Information Technology","US Equity","Common stocks","Small cap","$1,717,184,049","480,336","Analyze"
"DDD","3D Systems Corp","Industrials","US Equity","Common stocks","Small cap","$1,333,848,384","1,393,989","Analyze"
"SSYS","Stratasys Ltd","Information Technology","US Equity","Common stocks","Small cap","$983,479,558","702,545","Analyze"
"IONQ","IonQ, Inc.","Information Technology","US Equity","Common stocks","Small cap","$964,164,658","2,714,250","Analyze"
"EBON","Ebang International Holdings Inc. - Class A","Information Technology","US Equity","Common stocks","Small cap","$944,436,217","20,853","Analyze"
"DM","Desktop Metal, Inc. Class A","Industrials","US Equity","Common stocks","Small cap","$679,073,354","7,335,304","Analyze"
"NNDM","Nano Dimension Ltd. ADRs","Information Technology","US Equity","ADRs","Small cap","$509,895,166","2,614,230","Analyze"
"CRCT","Cricut, Inc.","Consumer Discretionary","US Equity","Common stocks","Small cap","$501,400,827","103,003","Analyze"
"CAN","Canaan Inc. ADRs of Class A","Information Technology","US Equity","ADRs","Small cap","$463,607,612","2,259,055","Analyze"
"VLD","Velo3D, Inc.","Industrials","US Equity","Common stocks","Small cap","$417,494,978","1,989,154","Analyze"
"DAKT","Daktronics Inc","Information Technology","US Equity","Common stocks","Micro cap","$233,239,185","243,025","Analyze"
"MKFG","Markforged Holding Corporation","Industrials","US Equity","Common stocks","Micro cap","$176,432,235","1,001,964","Analyze"
"MICT","Micronet Enertec Technologies Inc","Information Technology","US Equity","Common stocks","Micro cap","$145,814,336","559,288","Analyze"
"INVE","Identiv Inc","Information Technology","US Equity","Common stocks","Micro cap","$138,086,865","116,120","Analyze"
"QMCO","Quantum Corporation","Information Technology","US Equity","Common stocks","Micro cap","$105,214,639","249,702","Analyze"
"ALOT","Astro Med Inc","Information Technology","US Equity","Common stocks","Micro cap","$91,501,362","9,264","Analyze"
"RGTI","Rigetti Computing, Inc.","Information Technology","US Equity","Common stocks","Micro cap","$73,276,700","1,072,612","Analyze"
"KTCC","Key Tronic Corp","Information Technology","US Equity","Common stocks","Micro cap","$71,943,108","40,620","Analyze"
"QUBT","Quantum Computing Inc.","Information Technology","US Equity","Common stocks","Micro cap","$69,292,347","252,988","Analyze"
"STRC","Sarcos Technology and Robotics Corporation","Industrials","US Equity","Common stocks","Micro cap","$67,444,530","548,150","Analyze"
"TACT","Transact Technologies Inc","Information Technology","US Equity","Common stocks","Micro cap","$63,721,351","20,794","Analyze"
"OSS","One Stop Systems Inc.","Information Technology","US Equity","Common stocks","Micro cap","$53,586,801","18,210","Analyze"
"FATH","Fathom Digital Manufacturing Corporation Class A","Industrials","US Equity","Common stocks","Micro cap","$40,313,904","216,345","Analyze"
"VJET","voxeljet AG ADRs","Information Technology","US Equity","ADRs","Micro cap","$17,857,429","13,012","Analyze"
"SCKT","Socket Mobile, Inc.","Information Technology","US Equity","Common stocks","Micro cap","$14,544,911","8,380","Analyze"
