,801016.SI,801015.SI,801014.SI,801012.SI,801017.SI,801018.SI,801033.SI,801034.SI,801032.SI,801036.SI,801037.SI,801038.SI,801039.SI,801043.SI,801044.SI,801045.SI,801051.SI,801055.SI,801053.SI,801054.SI,801056.SI,801081.SI,801083.SI,801084.SI,801082.SI,801085.SI,801086.SI,801093.SI,801092.SI,801881.SI,801095.SI,801096.SI,801111.SI,801112.SI,801113.SI,801114.SI,801115.SI,801116.SI,801124.SI,801125.SI,801126.SI,801127.SI,801128.SI,801129.SI,801131.SI,801132.SI,801133.SI,801143.SI,801141.SI,801142.SI,801145.SI,801151.SI,801155.SI,801152.SI,801154.SI,801153.SI,801156.SI,801161.SI,801163.SI,801178.SI,801179.SI,801991.SI,801992.SI,801181.SI,801183.SI,801202.SI,801203.SI,801204.SI,801206.SI,801218.SI,801219.SI,801993.SI,801994.SI,801782.SI,801783.SI,801784.SI,801785.SI,801193.SI,801194.SI,801191.SI,801231.SI,801711.SI,801712.SI,801713.SI,801721.SI,801722.SI,801723.SI,801724.SI,801726.SI,801731.SI,801733.SI,801735.SI,801736.SI,801737.SI,801738.SI,801072.SI,801074.SI,801076.SI,801077.SI,801078.SI,801741.SI,801742.SI,801743.SI,801744.SI,801745.SI,801101.SI,801103.SI,801104.SI,801764.SI,801765.SI,801766.SI,801767.SI,801769.SI,801995.SI,801223.SI,801102.SI,801951.SI,801952.SI,801962.SI,801963.SI,801971.SI,801972.SI,801981.SI,801982.SI
20230227,55.92,133.1,82.75,44.41,648.13,54.56,13.12,18.54,20.35,33.8,44.27,10.91,36.76,16.63,18.43,19.34,32.14,15.37,39.52,21.88,10.38,36.66,29.29,32.41,26.3,24.61,41.53,32.79,35.52,33.41,31.45,155.4,11.22,24.32,26.85,24.13,41.01,38.57,31.8,36.81,60.06,25.44,48.57,47.71,23.26,25.55,25.23,27.37,33.71,33.49,63.8,33.6,23.2,28.55,21.91,13.91,31.74,25.74,21.85,16.13,15.84,1669.39,4.77,12.84,44.62,21.96,27.42,29.74,53.31,44.56,374.0,6226.41,218.27,4.19,5.0,5.31,5.65,19.79,10.48,19.31,46.86,9.74,13.99,31.17,4.99,570.35,8.85,17.48,23.89,32.4,50.32,26.52,26.47,32.61,22.61,38.64,28.92,19.29,33.21,43.86,55.66,57.73,49.78,138.94,44.21,34.52,53.11,97.27,35.06,34.65,125.35,55.44,14.71,34.6,26.08,29.16,6.51,17.19,47.28,11.74,21.11,31.7,18.49,54.52
20230224,55.95,133.55,82.96,45.2,651.88,54.91,13.19,18.42,20.47,34.12,44.8,10.73,35.52,16.89,18.51,19.52,32.25,15.56,39.82,22.09,10.4,37.38,29.7,32.69,26.49,25.15,41.79,33.06,35.9,33.54,32.03,155.86,11.43,24.12,26.99,24.4,40.94,38.37,31.79,36.35,59.16,25.53,48.04,47.31,23.32,25.41,25.45,27.76,34.21,33.63,64.59,33.92,23.4,28.92,22.02,14.03,32.12,25.79,21.84,16.18,15.89,1652.52,4.8,12.86,44.98,22.18,27.6,30.06,54.18,44.97,369.16,6158.4,222.62,4.2,5.04,5.33,5.68,20.02,10.55,19.51,47.4,9.86,14.16,31.68,5.02,575.5,8.92,17.7,24.16,32.2,50.53,26.46,26.64,32.89,22.42,38.99,29.11,19.35,33.3,44.36,55.18,58.01,49.8,138.81,44.7,34.84,53.71,99.0,35.83,35.16,126.92,56.66,14.99,35.14,26.28,28.97,6.46,17.35,47.37,11.78,21.34,31.98,18.96,54.92
20230223,56.28,141.02,81.81,45.68,656.86,53.55,13.26,18.51,20.6,34.21,45.01,10.76,35.61,17.0,18.47,19.38,32.7,15.84,40.21,22.3,10.49,37.56,29.75,32.88,26.52,25.39,42.3,33.44,36.03,34.13,32.5,159.57,11.57,24.23,27.28,24.76,40.88,38.9,31.95,36.97,59.79,25.83,48.47,47.82,23.34,25.23,25.54,27.5,34.07,33.7,64.94,34.07,23.52,29.08,22.03,14.12,32.64,25.87,21.9,16.24,15.94,1665.42,4.8,13.0,45.27,22.22,27.61,30.23,54.25,44.85,374.47,6135.82,225.56,4.21,5.1,5.37,5.69,20.35,10.71,19.52,47.76,9.98,14.35,31.99,5.08,578.84,8.97,17.83,24.21,32.57,50.9,26.91,26.69,33.42,22.56,39.1,29.22,19.33,33.83,44.55,54.02,57.15,48.28,135.71,44.07,34.46,53.11,98.32,35.71,35.43,126.89,56.59,14.94,35.19,26.19,28.75,6.49,17.52,47.29,11.88,21.43,32.28,18.86,55.17
20230222,56.28,140.6,81.56,45.45,659.51,53.66,13.39,18.54,20.73,34.19,44.88,10.79,33.7,17.16,18.48,19.46,32.12,15.82,40.29,22.27,10.43,37.61,30.01,32.79,26.59,25.18,42.53,33.2,35.9,34.32,32.39,160.03,11.44,24.26,27.08,24.68,40.79,38.65,32.26,37.34,60.63,25.93,48.55,48.03,23.37,24.81,25.4,27.59,34.38,33.92,65.69,34.39,23.77,29.3,22.22,14.2,32.57,25.92,21.76,16.23,15.94,1682.16,4.83,12.95,45.7,22.26,27.55,30.42,54.53,44.57,378.1,6168.59,225.62,4.21,5.1,5.36,5.68,20.22,10.75,19.46,47.81,9.98,14.3,32.18,5.1,575.33,9.01,17.89,24.38,32.53,50.67,26.14,26.7,33.24,22.53,39.12,29.06,19.33,34.15,44.58,54.71,57.31,48.8,136.87,44.51,35.08,54.67,100.79,36.41,36.12,128.59,57.48,15.23,35.48,26.76,29.02,6.45,17.46,47.55,11.79,21.39,31.92,18.87,56.2
20230221,56.16,139.97,81.52,44.94,650.51,53.84,13.44,18.78,20.77,34.35,45.14,10.89,34.03,17.27,18.47,19.47,32.29,15.96,40.18,22.54,10.57,37.8,30.08,32.78,26.62,25.47,42.77,33.19,35.91,33.94,32.65,161.48,11.53,24.29,27.01,24.8,40.44,38.94,32.38,37.71,60.01,26.11,47.39,47.93,23.4,24.7,25.47,27.15,34.27,33.53,65.58,34.47,23.76,29.26,22.24,14.25,32.98,26.05,21.81,16.31,15.94,1686.23,4.84,13.03,46.02,22.41,27.65,30.54,55.11,44.29,381.93,6221.03,226.28,4.23,5.15,5.39,5.7,20.41,10.92,19.51,47.9,10.05,14.41,32.75,5.14,572.26,9.02,17.96,24.26,32.52,50.14,26.37,26.51,33.64,22.57,39.09,29.13,19.19,34.18,44.54,51.63,57.24,48.43,137.26,44.21,35.09,54.33,100.28,36.86,36.64,129.49,58.31,15.29,35.58,27.37,28.92,6.42,17.53,47.9,11.87,21.4,31.98,18.71,56.27
20230220,55.88,139.63,80.99,44.85,640.72,54.0,13.29,18.51,20.52,34.3,45.17,10.62,33.34,16.77,18.03,19.14,31.88,15.65,39.7,21.99,10.47,37.88,30.17,32.31,26.61,25.22,43.02,32.77,35.49,34.21,32.17,155.42,11.41,24.03,26.83,24.57,39.89,38.75,32.47,38.1,60.49,26.03,47.75,48.06,23.43,24.71,25.38,27.18,34.14,33.63,66.09,34.46,23.68,29.3,22.3,14.28,33.3,25.91,21.64,16.26,15.83,1703.35,4.81,12.93,46.01,22.25,27.55,30.88,55.28,44.16,384.62,6184.83,225.65,4.23,5.13,5.41,5.67,20.33,10.91,19.47,47.33,9.96,14.36,32.83,5.07,568.13,8.97,17.74,24.1,32.4,49.95,26.03,26.13,33.7,22.3,38.89,28.92,19.22,34.27,44.53,49.7,56.66,47.34,136.78,43.58,35.23,54.25,100.51,37.77,36.99,130.02,59.51,15.32,35.67,26.92,28.81,6.25,17.33,47.17,11.81,21.29,31.71,18.59,57.03
20230217,55.38,138.16,80.65,44.27,631.24,53.67,12.97,18.3,20.31,34.15,44.63,10.56,32.67,16.27,17.56,18.83,31.65,15.11,38.98,21.64,10.44,37.43,29.57,31.84,26.38,25.03,42.49,32.35,34.84,33.21,31.92,151.1,10.96,23.36,25.76,22.9,39.11,37.86,32.22,37.16,60.52,25.61,47.81,47.56,23.18,24.38,25.19,26.48,33.95,31.93,64.95,34.15,23.59,28.85,22.32,14.11,32.86,25.64,21.54,16.01,15.64,1680.74,4.76,12.72,45.19,22.0,27.1,30.29,53.95,43.92,379.24,6131.32,221.87,4.18,4.96,5.25,5.58,19.55,10.6,19.0,46.72,9.58,13.86,31.26,4.83,557.11,8.74,17.28,23.74,32.12,49.63,25.47,25.71,33.82,22.07,38.45,28.42,18.79,31.96,43.74,49.47,56.75,47.41,135.49,43.42,33.89,52.85,97.43,36.0,35.92,127.96,58.08,14.97,34.91,25.54,28.14,6.09,17.05,47.0,11.53,21.22,31.61,18.32,56.78
20230216,55.21,137.61,79.86,43.88,633.31,53.94,12.92,18.23,20.13,34.4,45.04,10.47,32.77,16.21,17.54,18.87,31.82,15.01,39.02,21.56,10.61,38.83,30.44,32.44,26.81,25.67,43.78,32.5,34.97,33.35,32.48,151.53,10.99,23.5,25.65,23.02,39.27,38.16,32.09,37.74,60.99,25.7,47.75,47.01,23.1,24.0,25.22,26.72,34.14,31.78,64.82,33.87,23.26,28.76,21.68,14.15,33.13,25.76,21.46,16.21,15.65,1692.9,4.75,12.79,44.76,22.15,27.11,30.56,54.61,44.39,384.34,6176.32,222.61,4.18,5.02,5.3,5.59,19.89,10.67,19.23,47.03,9.61,14.06,31.22,4.87,558.68,8.8,17.43,23.88,32.31,50.33,26.07,26.12,34.96,22.36,38.79,28.59,18.85,31.66,44.74,49.53,57.01,46.6,135.84,43.91,34.85,55.25,101.5,36.87,36.54,129.9,59.69,15.27,35.35,26.6,29.11,5.98,16.9,46.8,11.4,21.18,31.6,18.27,55.31
20230215,56.37,140.48,80.67,44.65,638.7,54.76,13.18,18.6,20.66,35.5,46.44,10.65,33.49,16.62,17.7,19.02,32.91,15.47,39.96,22.16,10.87,39.8,31.1,33.24,27.72,26.29,44.6,33.19,35.45,34.16,32.82,152.39,11.04,23.8,26.27,23.68,40.09,38.97,32.28,37.46,60.54,26.03,48.42,47.13,23.42,24.35,25.7,27.24,34.99,32.47,66.16,34.36,23.09,29.2,21.38,14.29,33.51,26.18,21.9,16.5,15.8,1695.12,4.81,12.93,45.33,22.62,27.48,31.51,55.78,45.17,380.77,6223.24,229.48,4.18,5.02,5.32,5.64,20.04,10.64,19.68,48.0,9.67,14.41,31.73,4.86,572.44,8.89,17.8,24.58,33.3,51.55,26.55,26.9,35.58,23.09,39.87,29.37,19.26,32.49,45.39,50.92,58.0,48.15,139.34,44.97,35.04,56.4,102.86,36.56,36.87,131.67,60.6,15.43,35.94,26.17,29.62,6.06,17.35,47.65,11.58,21.67,32.38,18.54,55.67
20230214,56.51,141.83,81.33,45.0,648.65,55.1,13.3,18.66,20.78,35.59,46.67,10.77,34.12,16.82,17.85,19.17,33.17,15.54,40.31,22.41,11.03,39.38,30.6,32.21,27.32,25.97,44.08,33.19,35.49,33.82,33.06,151.71,11.2,23.44,26.81,24.09,40.12,39.12,32.31,37.45,60.45,26.32,48.96,47.5,23.6,24.43,25.69,27.44,34.66,32.73,65.87,34.71,23.08,29.67,21.36,14.41,34.27,26.37,22.04,16.91,15.87,1710.78,4.87,13.15,45.97,22.74,27.69,30.62,55.82,45.31,384.85,6255.58,229.65,4.19,5.09,5.37,5.66,20.24,10.83,19.77,48.32,9.63,14.62,32.4,4.94,576.0,8.96,17.92,24.32,33.18,51.49,26.64,27.13,35.78,23.06,39.72,29.38,19.27,32.65,45.46,50.12,57.98,48.06,140.95,44.62,34.06,54.81,100.34,35.75,36.42,130.62,58.84,15.04,35.51,25.52,28.87,6.11,17.5,48.7,11.66,21.77,32.83,18.74,55.9
